ID,Latitude,Longitude
250,41.895228,-87.713077
251,41.9626902,-87.6748284
252,41.901916,-87.762404
254,41.9018592,-87.7067781
255,41.681142,-87.641645
257,41.8162639,-87.607065
258,41.9681365,-87.654829
259,41.7974995,-87.7528304
260,41.8836686,-87.6250434
261,41.895987,-87.6555939
262,41.7503287,-87.6537187
263,41.9103207,-87.6926311
264,41.7141036,-87.5903737
266,42.0193531,-87.6718115
267,41.895745,-87.668496
269,41.844634,-87.723828
271,41.8230779,-87.6754885
272,41.7531082,-87.6052442
275,41.920236,-87.7609555
285,41.779397,-87.645529
286,41.8096104,-87.5994991
287,41.864058,-87.648208
288,41.8628797,-87.6226729
290,41.7680281,-87.5744957
291,41.8412923,-87.6590399
292,41.8854815,-87.7553462
293,41.8312243,-87.6106167
294,41.7563478,-87.635009
295,41.9623528,-87.6609895
296,41.882258,-87.741359
297,41.9672462,-87.674108
300,41.7693978,-87.6372633
301,41.7435182,-87.6001448
302,41.9633759,-87.651872
305,41.779452,-87.647441
306,41.965072,-87.6535169
307,41.7232595,-87.6626443
308,41.713539,-87.642583
309,41.8874852,-87.709805
310,41.8835551,-87.6791072
311,41.822958,-87.601821
312,41.8170701,-87.6005152
313,41.910547,-87.696534
314,41.897207,-87.623225
316,41.9488772,-87.6498011
317,41.7587029,-87.569185
318,41.9078093,-87.6645798
319,41.996635,-87.699945
320,41.8256226,-87.6246491
321,41.8256232,-87.6246493
322,41.798666,-87.617222
323,41.8253438,-87.623127
324,41.916117,-87.726868
325,41.8555635,-87.6627605
326,41.731456,-87.55165
327,41.7522957,-87.6538101
328,41.896088,-87.7215669
329,41.8805999,-87.7512388
330,41.9172364,-87.7044287
331,41.8097203,-87.6162308
