SCHOOL_ID,Y,X
400091,41.86330141,-87.6590948
400092,41.65366345,-87.6050391
400094,41.74484911,-87.55022237
400096,41.90779718,-87.66407247
400097,41.87880881,-87.67819526
400098,41.88274026,-87.62633828
400101,41.82288374,-87.69399616
400102,41.86254002,-87.66010654
400104,41.84596659,-87.68724016
400105,41.83111753,-87.61362865
400106,41.7783695,-87.6351167
400107,41.73333313,-87.54557989
400108,41.65314106,-87.60187328
400109,41.72113646,-87.66241565
400111,41.74312177,-87.66572106
400112,41.80104241,-87.70879678
400113,41.9077968,-87.6455615
400114,41.90034364,-87.68989563
400115,41.77099172,-87.69307532
400116,41.7745716,-87.67614673
400117,41.73444162,-87.65098673
400118,41.86932808,-87.71165423
400119,41.88173276,-87.73377838
400120,41.91795168,-87.78783044
400121,42.01647588,-87.68440568
400123,41.88044719,-87.7425389
400124,41.84133117,-87.62533077
400125,41.9381866,-87.72713736
400126,41.90157241,-87.70685988
400127,41.89497639,-87.76022118
400128,41.86494335,-87.72366217
400129,41.80933109,-87.6164773
400130,41.75137711,-87.64173119
400131,41.9028497,-87.69600602
400133,41.88304717,-87.62773415
400134,41.85720786,-87.64488798
400135,41.85466466,-87.69543001
400136,41.7129221,-87.5923332
400137,41.8096955,-87.59933994
400139,41.74628657,-87.57849167
400141,41.96529482,-87.65923929
400142,41.87631673,-87.6741384
400143,41.89080312,-87.7020528
609708,41.93979677,-87.75416654
400144,41.90224003,-87.74881029
400145,41.83207206,-87.62678147
400146,41.89181614,-87.74661384
400147,41.69195334,-87.65424794
400148,41.84544602,-87.68406494
400149,41.80176225,-87.71102498
400150,41.73013139,-87.60697991
400151,41.88741029,-87.70139735
400153,41.81310945,-87.69323838
400156,41.70666686,-87.60257332
400157,41.73462237,-87.55620144
400159,41.92218116,-87.75752153
400161,41.67931844,-87.61796787
400162,41.93898843,-87.74112863
400163,41.79355627,-87.63996733
400164,41.84595667,-87.68590261
400165,41.8874127,-87.7027039
400167,41.79520095,-87.68396339
400169,41.92563027,-87.76980777
400170,41.88215248,-87.62774253
400171,41.69577858,-87.65355219
400173,41.80822579,-87.70264475
400175,41.75974864,-87.55648708
400176,41.76592892,-87.69073009
400177,41.86117419,-87.70928683
609674,41.73717393,-87.57326752
