SCHOOL_ID,Y,X,Altitude,dx,dy
400009,41.80757851,-87.74009744,0,2,2
400010,41.79612151,-87.62584904,0,2,2
400011,41.87724835,-87.70523453,0,2,2
400012,41.77080225,-87.63547157,0,2,2
400013,41.93729829,-87.72709566,0,2,2
400015,41.91249761,-87.69552183,0,2,2
400017,41.96640567,-87.72182467,0,2,2
400018,41.88420467,-87.76189102,0,2,2
400019,41.81927661,-87.6266218,0,2,2
400020,41.85855329,-87.70769852,0,2,2
400021,41.88232222,-87.76532198,0,2,2
400022,41.89937657,-87.69494501,0,2,2
400023,41.74317942,-87.58792764,0,2,2
400024,41.79404286,-87.67024266,0,2,2
400025,41.92241463,-87.68135796,0,2,2
400026,41.72024642,-87.65756106,0,2,2
400027,41.95089128,-87.71049243,0,2,2
400028,41.68443304,-87.61688838,0,2,2
400029,41.78361685,-87.62206845,0,2,2
400030,41.9216875,-87.77674854,0,2,2
400031,41.74536545,-87.6926144,0,2,2
400032,41.74838241,-87.66897964,0,2,2
400033,41.72122143,-87.65576813,0,2,2
400034,41.99024501,-87.72650426,0,2,2
400035,42.01303149,-87.67481842,0,2,2
400036,41.88055011,-87.64977248,0,2,2
400038,41.86495226,-87.72502202,0,2,2
400039,41.90677064,-87.69436445,0,2,2
400040,41.86207686,-87.71764198,0,2,2
400041,41.89731303,-87.72195904,0,2,2
400042,41.86931848,-87.71030188,0,2,2
400043,41.88336203,-87.66807695,0,2,2
400044,41.85836974,-87.72107065,0,2,2
400045,41.69804049,-87.63105815,0,2,2
400046,41.86727271,-87.71067948,0,2,2
400047,41.87786063,-87.69873872,0,2,2
400048,41.87468714,-87.68656837,0,2,2
400049,41.85685916,-87.73034815,0,2,2
400050,41.82569976,-87.66772404,0,2,2
400051,41.90019052,-87.66262778,0,2,2
400052,41.76408299,-87.60197357,0,2,2
400053,41.89528219,-87.664483,0,2,2
400054,41.91521411,-87.73012672,0,2,2
400055,41.89242501,-87.66085887,0,2,2
400056,41.89536226,-87.71804677,0,2,2
400057,41.86581741,-87.67611093,0,2,2
400058,41.85856355,-87.70898711,0,2,2
400059,41.86414584,-87.7006806,0,2,2
400060,41.98337144,-87.67116042,0,2,2
400061,41.74596083,-87.65204509,0,2,2
400062,41.74594902,-87.65065702,0,2,2
400064,41.85599911,-87.6285309,0,2,2
400066,41.82778386,-87.62478772,0,2,2
400068,41.87276043,-87.76333693,0,2,2
400069,41.89255017,-87.70779647,0,2,2
400070,41.90307018,-87.66354081,0,2,2
400071,41.77536737,-87.66399583,0,2,2
400072,41.75245849,-87.60025455,0,2,2
400073,41.80430933,-87.62501515,0,2,2
400074,41.76739011,-87.66763901,0,2,2
400075,41.82772608,-87.60850078,0,2,2
400076,41.81118287,-87.59878627,0,2,2
400077,41.7781297,-87.59811392,0,2,2
400078,41.8135473,-87.60842562,0,2,2
400079,41.81013479,-87.73049512,0,2,2
400080,41.80819981,-87.73045044,0,2,2
400081,41.85950401,-87.66794917,0,2,2
400082,41.93747578,-87.69959365,0,2,2
400083,41.85003541,-87.6925509,0,2,2
400084,41.79993019,-87.69386164,0,2,2
400085,41.80917079,-87.73046685,0,2,2
400086,41.78149782,-87.63435669,0,2,2
400087,41.84454381,-87.6187238,0,2,2
400089,41.80830882,-87.6973941,0,2,2
400091,41.86330141,-87.6590948,0,2,2
400092,41.65366345,-87.6050391,0,2,2
400094,41.74484911,-87.55022237,0,2,2
400096,41.90779718,-87.66407247,0,2,2
400097,41.87880881,-87.67819526,0,2,2
400098,41.88274026,-87.62633828,0,2,2
400101,41.82288374,-87.69399616,0,2,2
400102,41.86254002,-87.66010654,0,2,2
400104,41.84596659,-87.68724016,0,2,2
400105,41.83111753,-87.61362865,0,2,2
400106,41.7783695,-87.6351167,0,2,2
400107,41.73333313,-87.54557989,0,2,2
400108,41.65314106,-87.60187328,0,2,2
400109,41.72113646,-87.66241565,0,2,2
400111,41.74312177,-87.66572106,0,2,2
400112,41.80104241,-87.70879678,0,2,2
400113,41.9077968,-87.6455615,0,2,2
400114,41.90034364,-87.68989563,0,2,2
400115,41.77099172,-87.69307532,0,2,2
400116,41.7745716,-87.67614673,0,2,2
400117,41.73444162,-87.65098673,0,2,2
400118,41.86932808,-87.71165423,0,2,2
400119,41.88173276,-87.73377838,0,2,2
400120,41.91795168,-87.78783044,0,2,2
400121,42.01647588,-87.68440568,0,2,2
400123,41.88044719,-87.7425389,0,2,2
400124,41.84133117,-87.62533077,0,2,2
400125,41.9381866,-87.72713736,0,2,2
400126,41.90157241,-87.70685988,0,2,2
400127,41.89497639,-87.76022118,0,2,2
400128,41.86494335,-87.72366217,0,2,2
400129,41.80933109,-87.6164773,0,2,2
400130,41.75137711,-87.64173119,0,2,2
400131,41.9028497,-87.69600602,0,2,2
400133,41.88304717,-87.62773415,0,2,2
400134,41.85720786,-87.64488798,0,2,2
400135,41.85466466,-87.69543001,0,2,2
400136,41.7129221,-87.5923332,0,2,2
400137,41.8096955,-87.59933994,0,2,2
