SCHOOL_ID,X,Y
400009,-87.74009744,41.80757851
400010,-87.62584904,41.79612151
400011,-87.70523453,41.87724835
400012,-87.63547157,41.77080225
400013,-87.72709566,41.93729829
400015,-87.69552183,41.91249761
400017,-87.72182467,41.96640567
400018,-87.76189102,41.88420467
400019,-87.6266218,41.81927661
400020,-87.70769852,41.85855329
400021,-87.76532198,41.88232222
400022,-87.69494501,41.89937657
400023,-87.58792764,41.74317942
400024,-87.67024266,41.79404286
400025,-87.68135796,41.92241463
400026,-87.65756106,41.72024642
400027,-87.71049243,41.95089128
400028,-87.61688838,41.68443304
400029,-87.62206845,41.78361685
400030,-87.77674854,41.9216875
400031,-87.6926144,41.74536545
400032,-87.66897964,41.74838241
400033,-87.65576813,41.72122143
400034,-87.72650426,41.99024501
400035,-87.67481842,42.01303149
400036,-87.64977248,41.88055011
400038,-87.72502202,41.86495226
400039,-87.69436445,41.90677064
400040,-87.71764198,41.86207686
400041,-87.72195904,41.89731303
400042,-87.71030188,41.86931848
400043,-87.66807695,41.88336203
400044,-87.72107065,41.85836974
400045,-87.63105815,41.69804049
400046,-87.71067948,41.86727271
400047,-87.69873872,41.87786063
400048,-87.68656837,41.87468714
400049,-87.73034815,41.85685916
400050,-87.66772404,41.82569976
400051,-87.66262778,41.90019052
400052,-87.60197357,41.76408299
400053,-87.664483,41.89528219
400054,-87.73012672,41.91521411
400055,-87.66085887,41.89242501
400056,-87.71804677,41.89536226
400057,-87.67611093,41.86581741
400058,-87.70898711,41.85856355
400059,-87.7006806,41.86414584
400060,-87.67116042,41.98337144
400061,-87.65204509,41.74596083
400062,-87.65065702,41.74594902
400064,-87.6285309,41.85599911
400066,-87.62478772,41.82778386
400068,-87.76333693,41.87276043
400069,-87.70779647,41.89255017
400070,-87.66354081,41.90307018
400071,-87.66399583,41.77536737
400072,-87.60025455,41.75245849
400073,-87.62501515,41.80430933
400074,-87.66763901,41.76739011
400075,-87.60850078,41.82772608
400076,-87.59878627,41.81118287
400077,-87.59811392,41.7781297
400078,-87.60842562,41.8135473
400079,-87.73049512,41.81013479
400080,-87.73045044,41.80819981
400081,-87.66794917,41.85950401
400082,-87.69959365,41.93747578
400083,-87.6925509,41.85003541
400084,-87.69386164,41.79993019
400085,-87.73046685,41.80917079
400086,-87.63435669,41.78149782
400087,-87.6187238,41.84454381
400089,-87.6973941,41.80830882
400091,-87.6590948,41.86330141
400092,-87.6050391,41.65366345
400094,-87.55022237,41.74484911
400096,-87.66407247,41.90779718
400097,-87.67819526,41.87880881
400098,-87.62633828,41.88274026
400101,-87.69399616,41.82288374
400102,-87.66010654,41.86254002
400104,-87.68724016,41.84596659
400105,-87.61362865,41.83111753
400106,-87.6351167,41.7783695
400107,-87.54557989,41.73333313
400108,-87.60187328,41.65314106
400109,-87.66241565,41.72113646
400111,-87.66572106,41.74312177
400112,-87.70879678,41.80104241
400113,-87.6455615,41.9077968
400114,-87.68989563,41.90034364
400115,-87.69307532,41.77099172
400116,-87.67614673,41.7745716
400117,-87.65098673,41.73444162
400118,-87.71165423,41.86932808
400119,-87.73377838,41.88173276
400120,-87.78783044,41.91795168
400121,-87.68440568,42.01647588
400123,-87.7425389,41.88044719
400124,-87.62533077,41.84133117
400125,-87.72713736,41.9381866
400126,-87.70685988,41.90157241
400127,-87.76022118,41.89497639
400128,-87.72366217,41.86494335
400129,-87.6164773,41.80933109
400130,-87.64173119,41.75137711
400131,-87.69600602,41.9028497
400133,-87.62773415,41.88304717
400134,-87.64488798,41.85720786
400135,-87.69543001,41.85466466
400136,-87.5923332,41.7129221
400137,-87.59933994,41.8096955
400139,-87.57849167,41.74628657
400141,-87.65923929,41.96529482
400142,-87.6741384,41.87631673
400143,-87.7020528,41.89080312
609708,-87.75416654,41.93979677
400144,-87.74881029,41.90224003
400145,-87.62678147,41.83207206
400146,-87.74661384,41.89181614
400147,-87.65424794,41.69195334
400148,-87.68406494,41.84544602
400149,-87.71102498,41.80176225
400150,-87.60697991,41.73013139
400151,-87.70139735,41.88741029
400153,-87.69323838,41.81310945
400156,-87.60257332,41.70666686
400157,-87.55620144,41.73462237
400159,-87.75752153,41.92218116
400161,-87.61796787,41.67931844
400162,-87.74112863,41.93898843
400163,-87.63996733,41.79355627
400164,-87.68590261,41.84595667
400165,-87.7027039,41.8874127
400167,-87.68396339,41.79520095
400169,-87.76980777,41.92563027
400170,-87.62774253,41.88215248
400171,-87.65355219,41.69577858
400173,-87.70264475,41.80822579
400175,-87.55648708,41.75974864
400176,-87.69073009,41.76592892
400177,-87.70928683,41.86117419
609674,-87.57326752,41.73717393
609676,-87.61763744,41.84022557
609678,-87.62767532,41.87306592
609679,-87.76104832,41.9200594
609680,-87.63538477,41.90157517
609682,-87.66227785,41.80288138
609691,-87.73523756,41.91167369
609692,-87.63541037,41.74578123
609693,-87.70733231,41.8899772
609694,-87.72447046,41.79146391
609695,-87.67948422,41.97506726
609698,-87.72109745,41.74937561
609702,-87.68197316,41.8769423
609704,-87.70870563,41.84855988
609705,-87.63757205,41.68995073
609707,-87.63715272,41.7697138
609709,-87.68895394,41.79101284
609710,-87.62062344,41.71837235
609711,-87.6690893,41.77512408
609712,-87.60172727,41.75374796
609713,-87.58661501,41.78225693
609715,-87.69463866,41.81872906
609716,-87.73599882,41.9279184
609718,-87.78083976,41.78996125
609719,-87.66895269,41.95476407
609720,-87.69101263,41.94664457
609722,-87.69989559,41.87093896
609723,-87.70805007,41.87844409
609724,-87.7024964,41.98758868
609725,-87.66565755,41.69203501
609726,-87.61635261,41.69276253
609727,-87.61979635,41.82387997
609728,-87.71481862,41.96482788
609729,-87.73561211,41.94636454
609730,-87.66713619,41.98902854
609732,-87.78351523,41.93563359
609733,-87.66919215,42.00268756
609734,-87.79154725,41.98296099
609735,-87.64296648,41.80751007
609736,-87.61193073,41.80207723
609737,-87.71338625,41.97318505
609738,-87.64600936,41.91826831
609739,-87.5375703,41.68813694
609740,-87.66748287,41.89899471
609741,-87.71801374,41.78052639
609744,-87.72238622,41.98297252
609745,-87.67594677,41.75985243
609746,-87.59042089,41.80377212
609748,-87.69526102,41.84253335
609749,-87.7087078,41.98131528
609750,-87.66872223,41.86436548
609751,-87.60387386,41.81367545
609753,-87.71776967,41.69122074
609754,-87.61921554,41.83055498
609755,-87.66423334,41.87860253
